"At","Sentimen","Review","Bintang","Aspek"
"2020-10-12 23:34:39","-1","ini gimana sih kok malah orderan saya dicancel, padahal sudah melakukan pembayaran tgl 9 oktober eh saya cek hari ini tiba2 cancel sih? ini gimana nih dari pihak sociolla apakah ada refund uang apa gimana? sumpah kecewa banget","2","Layanan"
"2020-10-12 21:15:45","1","Mendingan skrg aplikasinya ga kluar2 sendiri kaya sebelumnya. Cm saran klo bs produk d kranjang biar bs di klik lg klo2 pgn liat lg review produknya sblm beli, kan repot harus back trs search dlu produk lg.","4","Tampilan"
"2020-10-12 18:44:35","1","Bagus bgtt","5","Lainnya"
"2020-10-12 12:31:31","1","Kok jadi suka nutup sendiri ya aplikasi nya padahal sebelumnya ngga :(","5","Tampilan"
"2020-10-12 12:08:05","1","Ngeliat ulasan orang2 saya kaget..pertama x belanja di sini,, alhamdulillah lancar2 aja..brngnya jg sampenya lumyan cpt qo (2 hari)..","5","Layanan"
"2020-10-12 11:18:12","-1","Sementara ini dua dulu, bingung banget ngetrack paketnya kalau sudah diperbaiki nambah bintangnya","2","Tampilan"
"2020-10-12 10:00:25","1","One stop shopping make up and skin care","5","Lainnya"
"2020-10-12 08:25:07","1","Mantep","5","Lainnya"
"2020-10-11 23:41:15","1","Ok","5","Lainnya"
"2020-10-11 22:53:16","1","aplikasi yang bagus, membantu saya sekali untuk membeli dan melihat review produk-produk kecantikan. tapi yang agak disayangkan, kadang suka ada bug atau section wishlist yang harus direfresh berulang2 dan scroll ke bawahnya yang agak lama gitu, bahkan kadang produk yang sebenernya udah saya wishlist, eh di section wishlistnya engga ada. terus reviewnya juga nge-bug. untuk ke depannya semoga ada upgrade buat fixin bugnya~","4","Tampilan"
"2020-10-11 22:36:37","1","barang ori n harga bersaing","5","Produk"
"2020-10-11 21:42:18","1","Bagus","5","Lainnya"
"2020-10-11 16:58:59","1","Good","5","Lainnya"
"2020-10-11 15:12:29","-1","Kecewa sm sociolla, pembayaran pake sopipay ga detect akhirnya gagal co. Trus tiba2 cancel orderan dan refund dananya 7harian lama banget. Org kan mau beli yg lain jd terkendala. Kesellll","2","Layanan"
"2020-10-11 15:07:49","-1","Baik sekali produk dari sociolla emang keren, apalagi flash salenya wowwww, maxasih sociolla","1","Produk"
"2020-10-11 11:39:25","1","Good","5","Lainnya"
"2020-10-10 23:43:37","0","kacau sih katanya gratis ongkir ternyata masi diminta ongkir hehe","3","Layanan"
"2020-10-10 18:08:41","1","Selama ini barang yang di kirim dari sociolla ke saya selalu bagus sih. Kemaren sempet udah payment tapi ternyata ada salah satu stock barang mereka ada yang out of stock. mereka langsung info. Cuman, ya. Kalo saran aku sebaiknya fitur di sociolla ditambah deh, seperti tanya ketersediaan barang gitu. Sama seperti nya kalo misal kaya kejadian aku kemaren. Tolong dikirim notifikasi dari soco nya langsung supaya tau kalo ternyata barangnya gk ready. Udh segitu aja, semoga soco sukses trus amin 😊","4","Tampilan"
"2020-10-10 11:09:53","-1","Kecewa banget hampir sejam ngurusin proses pembayaran via shopee pay nggak bisa. Selalu muncul kalimat bahwa aplikasi tsb tidak terinstal padahal jelas jelas punya aplikasinya. Tanya via wa no respon email apalagi. Ribet banget ketimbang mau bayar doang. Sampai pesanan saya dibatalkan saya ulangi lagi voucher yg udah di reedem tadi sudah tidak bisa digunakan. Diulang pesen lagi tetep g bisa. Ribet banget asli.","1","Layanan"
"2020-10-09 19:54:51","1","Barang original harga lebih murah","5","Produk"
"2020-10-09 11:37:12","1","Produknya dijamin ori & ber bpom","5","Produk"
"2020-10-09 11:17:50","1","Ini bagus tp to gw bingung waktu mau log in","4","Tampilan"
"2020-10-08 17:51:13","-1","Ini pertama kali pake aplikasi ini. Kesannya kecewa sekali. Saya pesan 3 item, tapi yg di kirim cuma 1 item, yang 2 harus reorder lagi padahal sudah bayar lewat indomaret tapi di cancel oleh aplikasi. DM lewat ig dan e-mail tapi tdk ada jawaban knp tbtb di cancel.","1","Layanan"
"2020-10-07 10:47:56","1","Freongx bikin ngiler mau belanja z","5","Layanan"
"2020-10-06 21:21:24","1","Ditunggu promo promonya lagiii","4","Lainnya"
"2020-10-06 18:02:00","0","Dahlahhhhhhh","3","Lainnya"
"2020-10-06 17:41:28","-1","saya ksh bintang 2 dlu ya krna saya bru mencoba n baru dowload aplikasi socioLLa ini smoga aplikasi ini produk2 yg ada di dlm nya bner2 100% ori n 100% smpe ditangan konsumen dgn aman n sesuai dgn di gambar agar konsumen merasa puas n slalu berlanggan socioLLa ini amin ya allah..... 😘😘😘😘😘","2","Layanan"
"2020-10-06 15:11:48","-1","Malu-maluin banget sih sekelas Sociolla ternyata masih ambil 'main' di ongkir. Sebelumnya order selalu di atas 250rb, jadi free ongkir. Giliran sekarang baru banget pertama kali order dengan ongkir, oh baru tahu ternyata Sociolla 'kemaruk' juga masih main di ongkir. Tarif ke alamat saya kena 22.000, itu emang bener, tarif dengan JNE atau J&T. Ternyata apa? Dikirimnya via Wahana yang ongkir ke alamat saya cuma 7.000 wkwkkwk. Doyan begini juga nih ternyata. Yakali 15.000 x 500 customer sehari 💩","1","Layanan"
"2020-10-06 14:21:27","0","Pertama kali Belanja d sini aga ribet yaa.. uda gitu pengiriman lama.. ga ada pilihan jasa kirimnya lg...nunda* mau pergi .. eh ga jd dateng barangny 😪","3","Layanan"
"2020-10-06 13:01:25","-1","Sdh di bayar full,,tiba2 di info barang kosong,,,pas udh di batalin ehh sampe skrg dana blm jg dikembaliin CS di email pada gk respon...asli kecewa banget,gk mau lg order dsni.","1","Layanan"
"2020-10-06 04:53:52","-1","Please balikin uangku yg udah saya transfer. Saya udah keep udah langsung tf. Lama nunggu barang gak dikirim langsung dicancel. Gak ada pemberitahuan apa². Memang 130 ribu itu gak banyak, tapi saya kerja juga pakai tenaga dan pikiran. Capek juga. Malah ditipu kayak gini. Mohon segera diproses dan kembalikan uang saya. 😠","1","Layanan"
"2020-10-05 22:39:37","-1","Ecommerse ter trusted tapi kenapa yaaa dikit dikit minta updateee:( capek akutu update melulu","2","Tampilan"
"2020-10-05 20:27:38","-1","Update terus tapi tetep lemot. Heuft","1","Tampilan"
"2020-10-05 10:28:25","-1","Kecewa, saya pesan barang senka yg twinpack tapi hanya datang satu saja","2","Layanan"
"2020-10-04 20:48:42","1","Suka bgt sama aplikasi nya. Banyak produk yg biasa susah di cari. Jadi lebih gampang deh","4","Produk"
"2020-10-04 17:19:29","-1","Barang bisa di pesan giliran sudah payment baru diinfokan sold out, 2 kali CO semuanya do cancel. Yg 1 di cancel secara mendadak, 22 nya di cancel dengan alasan 1 produk yg sold out. Menguras emosi sekali pake apps ini. Kalo bukan karna saya punya gift card yg nilainya besar, gk mau deh belanja disini","1","Layanan"
"2020-10-04 01:18:25","0","free shippingnya mahal banget. Harus minimal 250k. Dan diskonan ga ikut dihitung. Males banget jadinya mau belanja","3","Layanan"
"2020-10-03 23:41:20","-1","Aplikasinya sering error saat mau lihat flash sale. Tolong diperbaiki!","1","Tampilan"
"2020-10-03 19:11:30","1","Belanja jd gk kawatir lg, karena barang di jamin ORI","5","Produk"
"2020-10-03 18:38:31","1","pokoknya ngah nyesel deh download ini","5","Lainnya"
"2020-10-03 14:32:48","0","Tolong dong, mau pilih metode pembayaran ngga bisa2 😏😏😏 ini aplikasinya yg bermasalah atau bagaimana","3","Tampilan"
"2020-10-03 11:39:02","1","Thank sociolla selalu puas belanja dsini","5","Lainnya"
"2020-10-02 21:25:08","1","App yg sgt membantu & memuaskan","5","Lainnya"
"2020-10-02 11:03:32","1","Ini pertama kali nya belanja di aplikasi sociolla dah bikin puas. Rapi dan cepat. Yang awalnya ragu skrg dah love bnget sm Sociolla. 😍","5","Layanan"
"2020-10-02 10:12:57","1","Good.. banyak promo... gratis ongkir... luvv bgt sama sociolla","5","Layanan"
"2020-10-02 09:07:31","1","Produknya terpercaya tapi masih kurang lengkap, tambahin terus ya produknya.","4","Produk"
"2020-10-01 21:07:47","1","Sangat membantu para wanita","5","Lainnya"
"2020-09-30 19:07:39","0","Produk si kalau menurut aku udh bagus dan lumayan lengkap cuma yg bikin kecewa itu sm kurir pengirimannya. Karna tiap kali pesen kurirnya th suka nunda"" utk pengirimannya. Emank si estimasi penerimaan barang 1 minggu cuma ia masa harus nggu 1 mnggu dulu, bukannya pengiriman cepat lebih baik, itu jd nilai plusnya. Karna untuk produk yg tawarkan qlo menurut aku udah ori tp qlo kurir pengirimannya lelet dan brngnya lama bkin kecewa.","3","Layanan"
"2020-09-30 13:10:27","-1","Baru download ngeliat yang dah pake aplikasi nya pada kecewa ,jadi galau 🙄","1","Lainnya"
"2020-09-30 12:00:16","-1","Poin soco ilang 510 poin . 2x konfirmasi dibilang maintenance terus .","2","Tampilan"
"2020-09-29 20:31:49","1","Banyakin diskon/event🥺 hyung. Nyaman banget belanja di sociolla","5","Layanan"
"2020-09-29 14:34:25","1","Bagus banget aplikasinya, kalo sale sering kasih kode buat belanja! Apalagi ditambah freeong itu menurut aku waw bgt terimakasih Sociolla! Lumayan bgt ongkir ke Jogja soalnya lumayan, oh iya kalian bisa juga ikutin event event sociolly ya. Jadi yuk dwonload aplikasinya sekarang!😋✨","5","Layanan"
"2020-09-29 12:14:56","1","Pernah beli disini, paket aman tp ga dianter ke lokasi","4","Layanan"
"2020-09-29 09:12:48","1","Love sociolla","5","Lainnya"
"2020-09-28 21:59:05","-1","Ini aplikasi suka retry gitu yah.?? Baru klik 1 produk ngetry ulang. Bingung akunyaa. 😑 Apa aku sendiri yah.?","2","Tampilan"
"2020-09-28 21:40:15","1","Terbaik. Nomor 1 dihatiku. Lengkap. Sering diskon. Gak ribet","5","Layanan"
"2020-09-28 21:28:52","1","Sukak bgt Seandainya ada some by mi","5","Lainnya"
"2020-09-28 15:23:56","1","Sangat bagus","5","Lainnya"
"2020-09-28 15:03:10","1","Rata2 aku liat ulasannya pada ga bagus ya. Alhamdulillah udah belanja ke 8 kalinya disini ga pernah ada masalah, malah puas bangetttt. Produknya original, walaupun memang harganya diatas rata2 online shop kebanyakan ya. Dan juga sering ada diskon ,jadi kalo beli banyak produk lumayan murah itungannya. Untuk pelayanan dari cs sampe dengan pengiriman semuanya baikk. Malah jasa pengiriman yang di pake sociolla, lebih cepet bangett ketimbang jne atau jnt. Overall puas belanja disini.","5","Layanan"
"2020-09-28 13:47:22","1","Helpfull","5","Lainnya"
"2020-09-26 16:38:13","1","Pls sociolla sering2in voucher2 25rb dan berbagai diskon lainnya","5","Layanan"
"2020-09-26 11:36:18","1","Pengiriman cepat, aman, terpecaya. Recommended sekali si ini. ❤️❤️❤️","5","Layanan"
"2020-09-25 19:43:30","-1","Barang yg dateng cuma 1. Katanya di refund tapi gajelas gimana refund nya. Email belum dibales, jdi ga mau lagi belanja disini. Ribet iya rugi iya uang belum kembali dari tgl 10😭","1","Layanan"
"2020-09-25 13:53:40","0","Kecewa banget,, udah order banyak ,,lama nunggu tiba"" dapat kabar kalo barang kosong dan akhirnya minta refund 6 september 2020 tadi,, eeh ini sudah tgl 11 september 2020 uangnya belum ada ditransfer... Kesel banget dah..","3","Layanan"
"2020-09-25 11:48:18","1","Sangat membantu, dan cocok untuk di rekomendasikan ke temen 😍","5","Layanan"
"2020-09-25 11:36:01","-1","KECEWA PARAH SAMA KURIR. berkali kali order di sociolla baru kali ini dapet kurir beda. Beda kalo sopan gapapa. Posisinya saya baru mau mandi udah lepas baju kurirnya dateng. Ya saya pake dululah baju saya masa iya nemuin kurir pake handuk. Kurir nya ketok pintu rumah kasar,. Yang lebih parah pintu garasi saya di gedor gedor. Sampe anak anak kecil yang main didepan rumah saya bilang ke saya takut. Sampe tetangga saya embah embah nanya itu tadi siapa dikiranya rentenir nagih utang. PARAH GA SOPAN","1","Layanan"
"2020-09-22 05:55:48","1","Saya Staff Di Warehouse Sociolla","5","Lainnya"
"2020-09-21 20:36:04","1","Olshop terbaik","5","Lainnya"
"2020-09-21 15:31:11","-1","Pengemasan sama pengiriman lama bnget nyesel beli disini. Lebih baik ditoko oren ijo aja deh. App sama pelayanannya belum siap","1","Layanan"
"2020-09-20 14:44:48","1","Bagussss","5","Lainnya"
"2020-09-18 15:56:22","-1","Ga lagi deh belanja lewat e commerce ini. Pelayanannya kurang terus barang nya kosong harus refund nunggunya dr akhir agustus sampai skrg.","1","Layanan"
"2020-09-18 11:44:23","1","gada fitur cancel sama kalo payment barcode nya suka ilang grgr kepencet pls semoga kedepannya diperbaiki ya","4","Tampilan"
"2020-09-18 06:55:25","1","Good","5","Lainnya"
"2020-09-17 22:51:09","-1","Kecewa banget asli, beli skincare 2 bundle itu produknya beda. Eh pasangan yg satunya ga dikirim dan ga ada konfirmasi. Orderan kedua 2, lama banget proses pengirimannya. Udah gitu tau² diemail stok ada yg kosong, Proses refund juga sangat lama.","1","Layanan"
"2020-09-17 00:08:20","-1","Sedih bgt sih app soci sering loading lamaaaaa terus minta oerbarui terus, malah mending pake web. Tolomg diperbaiki ya min makasih","2","Tampilan"
"2020-09-16 05:10:08","1","tiap kali buka aplikasi minta update mulu, astaga","4","Tampilan"
"2020-09-15 17:30:43","1","Mungkin udah banyak orang resah soal ini tapi emng bener sistem di apk soco ini beda bgt sama apk e commers lain, minggu ini udah order 3 kali tapi 3 dari 2 nya itu di refund karena alasan stock kosong, di refund pertama kalinya sih gppa ya karena emng mungkin abis dan ga ke update stocknya diapk tapi pas order LAGI terus di refund LAGI gara² stock kosong LAGI, Saya kesel ternyata emng sistem apk nya yang belum bisa sebanding sama e commers lain kaya shopee yang bener bisa update stock realtime","5","Tampilan"
"2020-09-14 07:17:08","1","So far sih masih nyaman dan bagus, gak lemot juga. Keep it uo soco","5","Tampilan"
"2020-09-12 10:06:37","1","Banyak promo","5","Layanan"
"2020-09-12 00:13:06","0","pas nyoba liat2 harganya, promonya standar yah. masi ada yg lebih murah. produknya jg kurang lengkap","3","Produk"
"2020-09-10 21:11:14","1","Bguss xixi","5","Lainnya"
"2020-09-10 15:22:39","-1","Tolong kerjasama sama pengantaran jasa barang yang terpercaya, gue tau ini bukan salah soco, tapi pengantaran nya tu lama banget astaga :( pliss lahhh kerjasama tu sama jne jte hadehh","1","Layanan"
"2020-09-10 10:26:47","-1","Tolong jual produk the ordinary dan Carave, dan produk luar lainnya juga. Agar lbh mantap dan laris pembelian dari konsumen. Jgn produk korea mulu capeee gue serius caprrrt","1","Produk"
"2020-09-10 10:09:04","1","Baru di instal udah minta di update ... Gimana dah ... 😂","4","Tampilan"
"2020-09-09 19:34:35","1","untuk pengalaman pertama beli di sini ada barang yang kosong, padahal kalo kosong seharusnya tidak bisa chekout , tapi barang yang lain sampai aman gak ada kerusakan dan yang pasti ori, dan saat saya email untuk refund di tanggap dengan cepat dan baik, uang refund juga sudah di terima, app ini juga bagus buat lihat review barang dan sharring juga, overall bagus cuman mungkin bisa ditingkatin.","5","Layanan"
"2020-09-08 23:07:42","1","Good bangett ♥️","5","Lainnya"
"2020-09-08 21:02:10","-1","Gila sih menurut gw Bisa2 nya ke cencel sendiri dan terus dia order sendiri tanpa gw harus buat kan pesanan dan bisa bisa nya di pilih kan item nya sendiri .. Kan gila begituu udh saran gw uninsatal mending aplikasi begini sangat 2 ga guna bikin rugi yang ada","1","Tampilan"
"2020-09-08 06:05:36","1","Best","5","Lainnya"
"2020-09-06 15:48:36","-1","Minta di upgrade mulu","2","Tampilan"
"2020-09-05 20:12:08","-1","aplikasi biasa aja kadang suka lemot pas loading. Ketika belanja barang suka ga update, pas udh bayar ternyata barang abis dan PROSES REFUNDNYA LAMA BGTTTT. jangan harap kalo kek gini terus bisa bersaing ama shopee dan tokopedia yang prosesnya lebih cepat dan harga yg bisa bersaing💅","1","Layanan"
"2020-09-05 17:02:27","1","Love it","5","Lainnya"
"2020-09-05 10:44:29","-1","Kenapa sih ini aplikasi??? Mau daftar malah dibilang nama gak boleh pake karakter spesial padahal udah bener nama ktp, belum lagi alamat email dibilang salah?? Salah darimana nya woi???","1","Tampilan"
"2020-09-04 20:08:52","1","Tolong di perbaiki dibagian kelengkapan profil, mengapa asal ingin save selalu gagal? Terimakasih atas bantuan nya","4","Tampilan"
"2020-09-03 22:40:21","1","Sangat suka","5","Lainnya"
"2020-09-03 21:30:54","1","Nice","5","Lainnya"
"2020-09-02 18:30:25","-1","Aplikasinya jelek, orderan ga dateng2, gmn ini","1","Layanan"
"2020-09-01 16:43:47","1","Banyak promonya, dan insyaAlloh percaya sih belanja disini, soalnya trusted 🤗","5","Layanan"
"2020-09-01 14:54:12","0","Siciolla kenapa sih :( ,dulu kayanya baik"" aja Padahal suka sama ini app :(","3","Lainnya"
"2020-08-31 15:41:35","1","suka , tapi nyari someby mi ga ketemu 😪 , semoga nanti ada some by mi","5","Produk"
"2020-08-31 07:05:07","1","Baik sihh","4","Lainnya"
"2020-08-30 23:13:19","1","Selama belanja si aman2 aja. Liat review yg lain agak kaget. Krna aku pesen sehari sampe dan gak pernah ada kendala. Pokok e keren lah.","5","Layanan"
"2020-08-30 17:18:27","-1","Udah mesen barangnya tinggal nunggu barang sampai, tiba2 direfund katanya stock habis. Gk professional banget, kalau habis kn harusnya ya dari awal diomongin stocknya kosong jadi gk bisa dibeli.. Dah seneng2 tinggal nunggu barang yang mau dicoba","1","Layanan"
"2020-08-29 18:25:39","0","Pas udah order dan iseng buka"" review di google play ternyata banyak yg kecewa krn barang abis, susah untuk refund, dan apknya lama. Wah agak degdegan nih, tp untungnya belum beli yg agak mahal, masih di bawah 100 rb. Eh alhamdulillah hari ini barangnya sampe dgn selamat. Aku juga sempet mengalami kendala pas mau bayar smp aku refresh berkali"" baru bisa. Semoga pihak pengembang bisa memperbaiki sistem apk dan kecocokan stok barangnya biar ga eror lagi","3","Tampilan"
"2020-08-29 16:26:20","1","Seneng banget belanja disini banyak diskon dan produk pasti ori","5","Produk"
"2020-08-29 15:49:58","1","Semoga kedepannya app soco jadi lebih baguss dan bisa lebih gampang buat tracking paket kita seperti ngecek pakentnya sudah sampe dimana dsb.","4","Layanan"
"2020-08-29 08:51:49","0","Kenapa ya kadang2 suka lemot terus suka ketutup sendiri","3","Tampilan"
"2020-08-29 07:08:48","1","Suka belanja di soco","5","Lainnya"
"2020-08-29 05:58:41","-1","Saya ko beli 3 produk, yg dikirim cuma 2,nah yg satu lagi kapan dikirim nya, udah lewat seminggu","1","Layanan"
"2020-08-29 00:10:25","1","Oke dah","5","Lainnya"
"2020-08-28 22:22:56","1","Luv u sociolla ...","5","Lainnya"
"2020-08-28 21:06:40","1","Barang ori dan selalu ada diskon...","4","Produk"
"2020-08-28 20:42:34","0","Sebelum update, ga masalah. Setelah update kok aplikasi seperti putus koneksi. Update profil ga bisa, ngepost video ga bisa. Apa² jd ""something wrong, try later"". Terus, lihat komentar yg lain, kok jd takut² belanja lewat aplikasi. Lewat web aja kali ya...","3","Tampilan"
"2020-08-28 18:50:08","1","Mantap","5","Lainnya"
"2020-08-28 13:20:29","1","sering force close","4","Tampilan"
"2020-08-28 12:44:44","1","Lengkap jos suka sekali pelayanan sama respon dari cs nya","5","Layanan"
"2020-08-28 12:18:04","1","Terori terjamin terlengkap...","5","Lainnya"
"2020-08-28 11:49:50","0","Jd ceritanya aku ada kendala dmn orderanku ga nyampe pdhl udh 10hari+. Cs di chat gabisa kasih kepastian. Akhirnya aku minta refund dan udh balik duitnya. Sempet rame jg di instagram soco kalo banyak yg MINTA REFUND malah cuman diganti VOUCHER. Sempet takut jg, tp ternyata duitku balik. Itu jadi pengalaman pertama dan terakhir aku belanja disini. Gaakan pernah saranin circle ku buat checkout disini, takut kejadian yg lebih buruk menimpa mereka. Rating di sini kmrn cuma bintang 1 & ak janji ubah.","3","Layanan"
"2020-08-28 11:47:18","1","Bagussssssssssssssss","5","Lainnya"
"2020-08-28 10:39:50","1","Sukak banget sama apknya","5","Lainnya"
"2020-08-28 10:22:30","0","aplikasinya lemot","3","Tampilan"
"2020-08-26 23:20:18","0","Kenap ya kok apk berhenti mulu dan memuat ulang mulu, saya sudah bersihkan semua sampah dihp ttp seperti itu padahal apk lain baik2 aja dehh. Haduh lgsg uninstall karena gabisa dipake :3","3","Tampilan"
"2020-08-26 02:04:28","-1","Gabisa login ada ada aja bugsnya","1","Tampilan"
"2020-08-25 19:08:30","-1","Aplikasi nya g bisa log in makasih :) Btw dana refund saya blm di TF juga?","1","Tampilan"
"2020-08-25 14:46:58","-1","Ga bisa login","1","Tampilan"
"2020-08-25 00:36:58","1","semoga lebih baik kedepannya","5","Lainnya"
"2020-08-24 10:00:44","1","belum coba","5","Lainnya"
"2020-08-23 19:50:49","0","Tolong perbaiki komentar reviewnya saya scroll ke bawah malah ke ulang2","3","Tampilan"
"2020-08-23 10:05:57","-1","Order dari kemarin udah bayar juga lewat bank transfer malah di cancelled dr sana sampai sekarang di hubungi lewat email juga ngga dibales tolong ya kalo ngga dikirim barang saya uang saya dikembalikan sampe sekarang belum dapet balesan nyesel banget belanja disini","1","Layanan"
"2020-08-22 10:34:51","0","Tolong dong pengiriman (free ongkirnya) jangan wahana😭 lama bangett pengirimannya, aku pesen dari tanggal 17 agustus sampe sekarang tanggal 22 agustus masih ngestuck aja barangnya😭😭","3","Layanan"
"2020-08-21 15:33:21","-1","Ga recommended bgt belanja di refund ke voucher duit di ganti kupon ga lucu bgt asli. Noh saingan mulai nongol aplikasi LAMIDA cewe2 setidaknya ga jadi voucher kalau di refund.","1","Layanan"
"2020-08-20 22:16:12","0","Aplikasinya lemot banget, ga nyaman nyari produk dan review nya di apps nya. Tolong di perbaiki. Aplikasi ini dibuat untuk memudahkan bukannya malah bikin tambah ribet.","3","Tampilan"
"2020-08-19 11:50:54","-1","Sudah 11 kali order disini. Pesanan ke 11 di cancel karena barang habis, tapi waku di cek di webnya barangnya masih ada tapi harga normal. Hahha lucu banget. Masih mencoba khusnudzon. Pengembalian dana dari tgl 2 Agustus sampai sekarang 19 Agustus belum ada. Padahal batas nunggunya sampai 18 Agustus. Pikir 10X kalau mau pesan disini meskipun sudah sering belanja disini, merusak loyalitas konsumen","1","Layanan"
"2020-08-18 22:08:38","-1","JELEK BANGET APLIKASINYA!!! STOK TIDAK UPDATE WAKTU PEMBAYARAN TERLALU CEPAT BARANG MASAH TERSEDIA TP TDK BS DI CHEKOUT KASIH BINTANG 1 PUN RASANYA SAYANG BANGET","1","Tampilan"
"2020-08-18 14:58:32","-1","poor customer service parah.","1","Lainnya"
"2020-08-17 10:15:12","1","Aplikasinya suka bermasalah :(","4","Tampilan"
"2020-08-16 16:52:06","-1","Saya kemarin membeli beberapa produk di sociolla. Saya sudah membayar melalui OVO, dan saldo saya sudah terpotong. Namun pada aplikasi sociolla, pada bagian ""my order"" tidak terdapat riawayat belanjaan saya tsb. Mohon informasinya, karena sampai hr ini saya tidak dapat melihat proses pembelian saya tsb (seperti tidak perna terjadi transaksi, padahal saya sudah membayar dan saldo saya sudah terpotong)","1","Layanan"
"2020-08-16 06:18:46","1","Bagus tapi pake bahasa Inggris nggak ngerti","4","Lainnya"
"2020-08-14 10:48:00","1","Good pisan euyyy","5","Lainnya"
"2020-08-13 16:11:04","-1","Tolong aplikasi nya diperbaiki lagi dong. Postingan terbaru selalu tidak ada pembaharuan di app saya. Malah post terakhir dari beberapa bulan yang lalu, padahal jika di buka di web selalu ada postingan terbaru","1","Tampilan"
"2020-08-12 18:42:30","-1","Uninstall byeeee. Gue sumbang 17k. Heran barang abis kok dijual. Niat nipu.","1","Layanan"
"2020-08-12 14:30:13","-1","Pertama x blj sdh ga beres, pesanan di cancel. tp uang dikembalikan pke voc. emgnya pas beli g pke duit. Hati2 aja mau blj disini, mikir 1000x. not recommended. abal abal 😈😈😈😈😈","1","Layanan"
"2020-08-12 05:23:09","-1","Jangan belanja disini,, 1. Kita gatau stock barang ada apa engga, karena bisa di order dan melakukan pembayaran, 2. Refund berupa voucher dan nominal ga sesuai. 3. Stock kosong di pajang di flashsale, akhirnya dram refund berupa voucher 4. CS slow responnnnnn","1","Layanan"
"2020-08-11 18:53:58","-1","BURUK. KESALAHAN DI PIHAK SOCIOLLA AJA REFUND BENTUK VOUCHER. E COMMERCE LAIN AJA KALO KESALAHAN HARGA REFUND BALIK KAGA PAKE VOUCHER. MINIMAL 10 RIBU DIJABANIN. MALAH DAPET VOUCHER PERMINTAAN MAAF. INI SEKELAS SOCIOLLA REFUND BENTUK VOUCHER. KECEWA","1","Layanan"
"2020-08-10 23:32:25","-1","AKU BELANJA BARANG FLASH SALE TERUS KATANYA STOCK HABIS, DI APP MASIH TERSEDIA LOH DAN BISA DI CO JUGA, BUT IT'S OKE SAMPAI SINI SAYA GA MASALAH KARNA DI EMAIL DIBILANG MAU DI REFUND KE REKENING DAN DI SURUH ISI NO REKENING. BESOKNYA DI BALES LG KALO BAKAL DI REFUND PAKE VOUCHER. HELLO PLEASE YA SOCO JANGAN NGADA2. INI NAMANYA PEMAKSAAN DIMANA KAMI HARUS BELANJA DI SOCO LAGI !!! 3 PAKET LOH INI BERARTI 3 VOUCHER GITU DISURUH BELANJA 3X ? SAYA MAUNYA UANG SAYA DI TRF YAA!!! PLEASE JANGAN SEMENA2","1","Layanan"
"2020-08-10 20:38:38","1","Senang belanja di sociolla, banyak sale dan harga menarik.","5","Lainnya"
