,At,Sentimen,Review,Bintang,Aspek,data_cleaned_aspek
30,2020-10-11 11:39:25,1,Good,5,Lainnya,good
31,2020-10-10 23:43:37,0,kacau sih katanya gratis ongkir ternyata masi diminta ongkir hehe,3,Layanan,kacau nyata
32,2020-10-10 18:08:41,1,"Selama ini barang yang di kirim dari sociolla ke saya selalu bagus sih. Kemaren sempet udah payment tapi ternyata ada salah satu stock barang mereka ada yang out of stock. mereka langsung info. Cuman, ya. Kalo saran aku sebaiknya fitur di sociolla ditambah deh, seperti tanya ketersediaan barang gitu. Sama seperti nya kalo misal kaya kejadian aku kemaren. Tolong dikirim notifikasi dari soco nya langsung supaya tau kalo ternyata barangnya gk ready. Udh segitu aja, semoga soco sukses trus amin 😊",4,Tampilan,bagus udah payment nyata salah stock out of stock ya saran fitur sedia notifikasi soco nyata ready segitu moga soco sukses amin
33,2020-10-10 11:09:53,-1,Kecewa banget hampir sejam ngurusin proses pembayaran via shopee pay nggak bisa. Selalu muncul kalimat bahwa aplikasi tsb tidak terinstal padahal jelas jelas punya aplikasinya. Tanya via wa no respon email apalagi. Ribet banget ketimbang mau bayar doang. Sampai pesanan saya dibatalkan saya ulangi lagi voucher yg udah di reedem tadi sudah tidak bisa digunakan. Diulang pesen lagi tetep g bisa. Ribet banget asli.,1,Layanan,kecewa jam urus proses bayar via shopee pay kalimat terinstal via whatsapp no respon email sulit bayar doang batal udah reedem sulit
34,2020-10-09 19:54:51,1,Barang original harga lebih murah,5,Produk,original harga murah
35,2020-10-09 11:37:12,1,Produknya dijamin ori & ber bpom,5,Produk,produk jamin original ber bpom
36,2020-10-09 11:17:50,1,Ini bagus tp to gw bingung waktu mau log in,4,Tampilan,bagus log
37,2020-10-08 17:51:13,-1,"Ini pertama kali pake aplikasi ini. Kesannya kecewa sekali. Saya pesan 3 item, tapi yg di kirim cuma 1 item, yang 2 harus reorder lagi padahal sudah bayar lewat indomaret tapi di cancel oleh aplikasi. DM lewat ig dan e-mail tapi tdk ada jawaban knp tbtb di cancel.",1,Layanan,kesan kecewa reorder bayar indomaret cancel dm ig email cancel
38,2020-10-07 10:47:56,1,Freongx bikin ngiler mau belanja z,5,Layanan,tarik belanja
39,2020-10-06 21:21:24,1,Ditunggu promo promonya lagiii,4,Lainnya,promo
40,2020-10-06 18:02:00,0,Dahlahhhhhhh,3,Lainnya,
41,2020-10-06 17:41:28,-1,saya ksh bintang 2 dlu ya krna saya bru mencoba n baru dowload aplikasi socioLLa ini smoga aplikasi ini produk2 yg ada di dlm nya bner2 100% ori n 100% smpe ditangan konsumen dgn aman n sesuai dgn di gambar agar konsumen merasa puas n slalu berlanggan socioLLa ini amin ya allah..... 😘😘😘😘😘,2,Layanan,ya dowload moga produk  100  original  100  tang konsumen aman sesuai gambar konsumen puas langgan amin ya allah
42,2020-10-06 15:11:48,-1,"Malu-maluin banget sih sekelas Sociolla ternyata masih ambil 'main' di ongkir. Sebelumnya order selalu di atas 250rb, jadi free ongkir. Giliran sekarang baru banget pertama kali order dengan ongkir, oh baru tahu ternyata Sociolla 'kemaruk' juga masih main di ongkir. Tarif ke alamat saya kena 22.000, itu emang bener, tarif dengan JNE atau J&T. Ternyata apa? Dikirimnya via Wahana yang ongkir ke alamat saya cuma 7.000 wkwkkwk. Doyan begini juga nih ternyata. Yakali 15.000 x 500 customer sehari 💩",1,Layanan,malu kelas nyata main  250 rb oh nyata kemaruk main tarif  22   00  tarif nyata via wahana  00  suka nyata  15   00   500  customer
43,2020-10-06 14:21:27,0,Pertama kali Belanja d sini aga ribet yaa.. uda gitu pengiriman lama.. ga ada pilihan jasa kirimnya lg...nunda* mau pergi .. eh ga jd dateng barangny 😪,3,Layanan,belanja sulit ya pilih jasa nunda pergi
44,2020-10-06 13:01:25,-1,"Sdh di bayar full,,tiba2 di info barang kosong,,,pas udh di batalin ehh sampe skrg dana blm jg dikembaliin CS di email pada gk respon...asli kecewa banget,gk mau lg order dsni.",1,Layanan,bayar full kosong batalin sampe dana customer service email respon kecewa
45,2020-10-06 04:53:52,-1,"Please balikin uangku yg udah saya transfer. Saya udah keep udah langsung tf. Lama nunggu barang gak dikirim langsung dicancel. Gak ada pemberitahuan apa². Memang 130 ribu itu gak banyak, tapi saya kerja juga pakai tenaga dan pikiran. Capek juga. Malah ditipu kayak gini. Mohon segera diproses dan kembalikan uang saya. 😠",1,Layanan,balikin uang udah transfer udah keep udah tf dicancel pemberitahuan  130  kerja tenaga tipu gin proses uang
46,2020-10-05 22:39:37,-1,Ecommerse ter trusted tapi kenapa yaaa dikit dikit minta updateee:( capek akutu update melulu,2,Tampilan,ecommerse trusted ya dikit dikit pinta update update
47,2020-10-05 20:27:38,-1,Update terus tapi tetep lemot. Heuft,1,Tampilan,update kecewa
48,2020-10-05 10:28:25,-1,"Kecewa, saya pesan barang senka yg twinpack tapi hanya datang satu saja",2,Layanan,kecewa senka twinpack
49,2020-10-04 20:48:42,1,Suka bgt sama aplikasi nya. Banyak produk yg biasa susah di cari. Jadi lebih gampang deh,4,Produk,suka produk sulit cari mudah
50,2020-10-04 17:19:29,-1,"Barang bisa di pesan giliran sudah payment baru diinfokan sold out, 2 kali CO semuanya do cancel. Yg 1 di cancel secara mendadak, 22 nya di cancel dengan alasan 1 produk yg sold out. Menguras emosi sekali pake apps ini. Kalo bukan karna saya punya gift card yg nilainya besar, gk mau deh belanja disini",1,Layanan,payment sold out cash on delivery cancel cancel dadak cancel alas produk sold out uras emosi gift card nilai belanja
51,2020-10-04 01:18:25,0,free shippingnya mahal banget. Harus minimal 250k. Dan diskonan ga ikut dihitung. Males banget jadinya mau belanja,3,Layanan,shippingnya mahal minimal  250 ribu diskon hitung males belanja
52,2020-10-03 23:41:20,-1,Aplikasinya sering error saat mau lihat flash sale. Tolong diperbaiki!,1,Tampilan,error lihat flash sale
53,2020-10-03 19:11:30,1,"Belanja jd gk kawatir lg, karena barang di jamin ORI",5,Produk,belanja jamin original
54,2020-10-03 18:38:31,1,pokoknya ngah nyesel deh download ini,5,Lainnya,pokok sesal
55,2020-10-03 14:32:48,0,"Tolong dong, mau pilih metode pembayaran ngga bisa2 😏😏😏 ini aplikasinya yg bermasalah atau bagaimana",3,Tampilan,pilih metode bayar
56,2020-10-03 11:39:02,1,Thank sociolla selalu puas belanja dsini,5,Lainnya,thank puas belanja
57,2020-10-02 21:25:08,1,App yg sgt membantu & memuaskan,5,Lainnya,bantu muas
58,2020-10-02 11:03:32,1,Ini pertama kali nya belanja di aplikasi sociolla dah bikin puas. Rapi dan cepat. Yang awalnya ragu skrg dah love bnget sm Sociolla. 😍,5,Layanan,belanja puas rapih cepat ragu love
59,2020-10-02 10:12:57,1,Good.. banyak promo... gratis ongkir... luvv bgt sama sociolla,5,Layanan,good promo love
60,2020-10-02 09:07:31,1,"Produknya terpercaya tapi masih kurang lengkap, tambahin terus ya produknya.",4,Produk,produk percaya lengkap tambahin ya produk
61,2020-10-01 21:07:47,1,Sangat membantu para wanita,5,Lainnya,bantu wanita
62,2020-09-30 19:07:39,0,"Produk si kalau menurut aku udh bagus dan lumayan lengkap cuma yg bikin kecewa itu sm kurir pengirimannya. Karna tiap kali pesen kurirnya th suka nunda"" utk pengirimannya. Emank si estimasi penerimaan barang 1 minggu cuma ia masa harus nggu 1 mnggu dulu, bukannya pengiriman cepat lebih baik, itu jd nilai plusnya. Karna untuk produk yg tawarkan qlo menurut aku udah ori tp qlo kurir pengirimannya lelet dan brngnya lama bkin kecewa.",3,Layanan,produk bagus lengkap kecewa kurir kurir suka nunda estimasi ya cepat nilai plus produk tawar udah original kurir lambat kecewa
63,2020-09-30 13:10:27,-1,"Baru download ngeliat yang dah pake aplikasi nya pada kecewa ,jadi galau 🙄",1,Lainnya,lihat kecewa galau
64,2020-09-30 12:00:16,-1,Poin soco ilang 510 poin . 2x konfirmasi dibilang maintenance terus .,2,Tampilan,poin soco hilang  510  poin konfirmasi maintenance
65,2020-09-29 20:31:49,1,Banyakin diskon/event🥺 hyung. Nyaman banget belanja di sociolla,5,Layanan,diskon event nyaman belanja
66,2020-09-29 14:34:25,1,"Bagus banget aplikasinya, kalo sale sering kasih kode buat belanja! Apalagi ditambah freeong itu menurut aku waw bgt terimakasih Sociolla! Lumayan bgt ongkir ke Jogja soalnya lumayan, oh iya kalian bisa juga ikutin event event sociolly ya. Jadi yuk dwonload aplikasinya sekarang!😋✨",5,Layanan,bagus sale kode belanja jogja oh ikutin event event sociolly ya
67,2020-09-29 12:14:56,1,"Pernah beli disini, paket aman tp ga dianter ke lokasi",4,Layanan,beli paket aman lokasi
68,2020-09-29 09:12:48,1,Love sociolla,5,Lainnya,love
69,2020-09-28 21:59:05,-1,Ini aplikasi suka retry gitu yah.?? Baru klik 1 produk ngetry ulang. Bingung akunyaa. 😑 Apa aku sendiri yah.?,2,Tampilan,suka retry ya produk ngetry ya
70,2020-09-28 21:40:15,1,Terbaik. Nomor 1 dihatiku. Lengkap. Sering diskon. Gak ribet,5,Layanan,nomor lengkap diskon sulit
71,2020-09-28 21:28:52,1,Sukak bgt Seandainya ada some by mi,5,Lainnya,suka some mi
72,2020-09-28 15:23:56,1,Sangat bagus,5,Lainnya,bagus
73,2020-09-28 15:03:10,1,"Rata2 aku liat ulasannya pada ga bagus ya. Alhamdulillah udah belanja ke 8 kalinya disini ga pernah ada masalah, malah puas bangetttt. Produknya original, walaupun memang harganya diatas rata2 online shop kebanyakan ya. Dan juga sering ada diskon ,jadi kalo beli banyak produk lumayan murah itungannya. Untuk pelayanan dari cs sampe dengan pengiriman semuanya baikk. Malah jasa pengiriman yang di pake sociolla, lebih cepet bangett ketimbang jne atau jnt. Overall puas belanja disini.",5,Layanan,lihat ulas bagus ya udah belanja puas produk original harga online shop ya diskon beli produk murah hitung layan customer service sampe jasa cepet overall puas belanja
74,2020-09-28 13:47:22,1,Helpfull,5,Lainnya,helpfull
75,2020-09-26 16:38:13,1,Pls sociolla sering2in voucher2 25rb dan berbagai diskon lainnya,5,Layanan,voucher-voucher  25 ribu diskon
76,2020-09-26 11:36:18,1,"Pengiriman cepat, aman, terpecaya. Recommended sekali si ini. ❤️❤️❤️",5,Layanan,cepat aman terpecaya recommended
77,2020-09-25 19:43:30,-1,"Barang yg dateng cuma 1. Katanya di refund tapi gajelas gimana refund nya. Email belum dibales, jdi ga mau lagi belanja disini. Ribet iya rugi iya uang belum kembali dari tgl 10😭",1,Layanan,refund refund email dibales belanja sulit rugi uang tanggal  10 
78,2020-09-25 13:53:40,0,"Kecewa banget,, udah order banyak ,,lama nunggu tiba"" dapat kabar kalo barang kosong dan akhirnya minta refund 6 september 2020 tadi,, eeh ini sudah tgl 11 september 2020 uangnya belum ada ditransfer... Kesel banget dah..",3,Layanan,kecewa udah kosong pinta refund september  2020  eh tanggal  11  september  2020  uang transfer kesal
79,2020-09-25 11:48:18,1,"Sangat membantu, dan cocok untuk di rekomendasikan ke temen 😍",5,Layanan,bantu cocok rekomendasi teman
80,2020-09-25 11:36:01,-1,"KECEWA PARAH SAMA KURIR. berkali kali order di sociolla baru kali ini dapet kurir beda. Beda kalo sopan gapapa. Posisinya saya baru mau mandi udah lepas baju kurirnya dateng. Ya saya pake dululah baju saya masa iya nemuin kurir pake handuk. Kurir nya ketok pintu rumah kasar,. Yang lebih parah pintu garasi saya di gedor gedor. Sampe anak anak kecil yang main didepan rumah saya bilang ke saya takut. Sampe tetangga saya embah embah nanya itu tadi siapa dikiranya rentenir nagih utang. PARAH GA SOPAN",1,Layanan,kecewa parah kurir dapet kurir beda beda posisi mandi udah lepas baju kurir ya baju kurir handuk kurir ketuk pintu rumah kasar parah pintu garasi gedor gedor sampe anak anak main rumah sampe tetangga nanya rentenir nagih utang parah
81,2020-09-22 05:55:48,1,Saya Staff Di Warehouse Sociolla,5,Lainnya,staff warehouse
82,2020-09-21 20:36:04,1,Olshop terbaik,5,Lainnya,online shop
83,2020-09-21 15:31:11,-1,Pengemasan sama pengiriman lama bnget nyesel beli disini. Lebih baik ditoko oren ijo aja deh. App sama pelayanannya belum siap,1,Layanan,emas sesal beli toko orange hijau layan
84,2020-09-20 14:44:48,1,Bagussss,5,Lainnya,bagus
85,2020-09-18 15:56:22,-1,Ga lagi deh belanja lewat e commerce ini. Pelayanannya kurang terus barang nya kosong harus refund nunggunya dr akhir agustus sampai skrg.,1,Layanan,belanja commerce layan kosong refund agustus
86,2020-09-18 11:44:23,1,gada fitur cancel sama kalo payment barcode nya suka ilang grgr kepencet pls semoga kedepannya diperbaiki ya,4,Tampilan,fitur cancel payment barcode suka hilang pencet moga ya
87,2020-09-18 06:55:25,1,Good,5,Lainnya,good
88,2020-09-17 22:51:09,-1,"Kecewa banget asli, beli skincare 2 bundle itu produknya beda. Eh pasangan yg satunya ga dikirim dan ga ada konfirmasi. Orderan kedua 2, lama banget proses pengirimannya. Udah gitu tau² diemail stok ada yg kosong, Proses refund juga sangat lama.",1,Layanan,kecewa beli skincare bundle produk beda pasang konfirmasi proses udah tau email stok kosong proses refund
89,2020-09-17 00:08:20,-1,"Sedih bgt sih app soci sering loading lamaaaaa terus minta oerbarui terus, malah mending pake web. Tolomg diperbaiki ya min makasih",2,Tampilan,sedih loading pinta web ya
90,2020-09-16 05:10:08,1,"tiap kali buka aplikasi minta update mulu, astaga",4,Tampilan,buka pinta update astaga
91,2020-09-15 17:30:43,1,"Mungkin udah banyak orang resah soal ini tapi emng bener sistem di apk soco ini beda bgt sama apk e commers lain, minggu ini udah order 3 kali tapi 3 dari 2 nya itu di refund karena alasan stock kosong, di refund pertama kalinya sih gppa ya karena emng mungkin abis dan ga ke update stocknya diapk tapi pas order LAGI terus di refund LAGI gara² stock kosong LAGI, Saya kesel ternyata emng sistem apk nya yang belum bisa sebanding sama e commers lain kaya shopee yang bener bisa update stock realtime",5,Tampilan,udah resah sistem soco beda commers udah refund alas stock kosong refund ya habis update stocknya refund stock kosong kesal nyata sistem banding commers shopee update stock realtime
92,2020-09-14 07:17:08,1,"So far sih masih nyaman dan bagus, gak lemot juga. Keep it uo soco",5,Tampilan,so far nyaman bagus keep it uo soco
93,2020-09-12 10:06:37,1,Banyak promo,5,Layanan,promo
94,2020-09-12 00:13:06,0,"pas nyoba liat2 harganya, promonya standar yah. masi ada yg lebih murah. produknya jg kurang lengkap",3,Produk,nyoba lihat harga standar ya murah produk lengkap
95,2020-09-10 21:11:14,1,Bguss xixi,5,Lainnya,bagus
96,2020-09-10 15:22:39,-1,"Tolong kerjasama sama pengantaran jasa barang yang terpercaya, gue tau ini bukan salah soco, tapi pengantaran nya tu lama banget astaga :( pliss lahhh kerjasama tu sama jne jte hadehh",1,Layanan,kerjasama jasa percaya salah soco astaga kerjasama jte
97,2020-09-10 10:26:47,-1,"Tolong jual produk the ordinary dan Carave, dan produk luar lainnya juga. Agar lbh mantap dan laris pembelian dari konsumen. Jgn produk korea mulu capeee gue serius caprrrt",1,Produk,jual produk ordinary carave produk mantap beli konsumen produk korea
98,2020-09-10 10:09:04,1,Baru di instal udah minta di update ... Gimana dah ... 😂,4,Tampilan,install udah pinta update
99,2020-09-09 19:34:35,1,"untuk pengalaman pertama beli di sini ada barang yang kosong, padahal kalo kosong seharusnya tidak bisa chekout , tapi barang yang lain sampai aman gak ada kerusakan dan yang pasti ori, dan saat saya email untuk refund di tanggap dengan cepat dan baik, uang refund juga sudah di terima, app ini juga bagus buat lihat review barang dan sharring juga, overall bagus cuman mungkin bisa ditingkatin.",5,Layanan,alam beli kosong kosong aman rusa original email refund tanggap cepat uang refund bagus lihat overall bagus ditingkatin
100,2020-09-08 23:07:42,1,Good bangett ♥️,5,Lainnya,good
101,2020-09-08 21:02:10,-1,Gila sih menurut gw Bisa2 nya ke cencel sendiri dan terus dia order sendiri tanpa gw harus buat kan pesanan dan bisa bisa nya di pilih kan item nya sendiri .. Kan gila begituu udh saran gw uninsatal mending aplikasi begini sangat 2 ga guna bikin rugi yang ada,1,Tampilan,gila cancel pilih gila saran uninstall rugi
102,2020-09-08 06:05:36,1,Best,5,Lainnya,best
103,2020-09-06 15:48:36,-1,Minta di upgrade mulu,2,Tampilan,pinta upgrade
104,2020-09-05 20:12:08,-1,"aplikasi biasa aja kadang suka lemot pas loading. Ketika belanja barang suka ga update, pas udh bayar ternyata barang abis dan PROSES REFUNDNYA LAMA BGTTTT. jangan harap kalo kek gini terus bisa bersaing ama shopee dan tokopedia yang prosesnya lebih cepat dan harga yg bisa bersaing💅",1,Layanan,suka loading belanja suka update bayar nyata habis proses refundnya harap gin saing ama shopee tokopedia proses cepat harga saing
105,2020-09-05 17:02:27,1,Love it,5,Lainnya,love it
106,2020-09-05 10:44:29,-1,"Kenapa sih ini aplikasi??? Mau daftar malah dibilang nama gak boleh pake karakter spesial padahal udah bener nama ktp, belum lagi alamat email dibilang salah?? Salah darimana nya woi???",1,Tampilan,daftar nama karakter spesial udah nama ktp email salah salah darimana
107,2020-09-04 20:08:52,1,"Tolong di perbaiki dibagian kelengkapan profil, mengapa asal ingin save selalu gagal? Terimakasih atas bantuan nya",4,Tampilan,lengkap profil save gagal bantu
108,2020-09-03 22:40:21,1,Sangat suka,5,Lainnya,suka
109,2020-09-03 21:30:54,1,Nice,5,Lainnya,nice
110,2020-09-02 18:30:25,-1,"Aplikasinya jelek, orderan ga dateng2, gmn ini",1,Layanan,buruk
111,2020-09-01 16:43:47,1,"Banyak promonya, dan insyaAlloh percaya sih belanja disini, soalnya trusted 🤗",5,Layanan,percaya belanja trusted
112,2020-09-01 14:54:12,0,"Siciolla kenapa sih :( ,dulu kayanya baik"" aja Padahal suka sama ini app :(",3,Lainnya,siciolla suka
113,2020-08-31 15:41:35,1,"suka , tapi nyari someby mi ga ketemu 😪 , semoga nanti ada some by mi",5,Produk,suka cari someby mi ketemu moga some mi
114,2020-08-31 07:05:07,1,Baik sihh,4,Lainnya,
115,2020-08-30 23:13:19,1,Selama belanja si aman2 aja. Liat review yg lain agak kaget. Krna aku pesen sehari sampe dan gak pernah ada kendala. Pokok e keren lah.,5,Layanan,belanja aman lihat kejut sampe kendala pokok keren
116,2020-08-30 17:18:27,-1,"Udah mesen barangnya tinggal nunggu barang sampai, tiba2 direfund katanya stock habis. Gk professional banget, kalau habis kn harusnya ya dari awal diomongin stocknya kosong jadi gk bisa dibeli.. Dah seneng2 tinggal nunggu barang yang mau dicoba",1,Layanan,udah mesen tinggal direfund stock habis professional habis kn ya diomongin stocknya kosong beli seneng 2  tinggal
117,2020-08-29 18:25:39,0,"Pas udah order dan iseng buka"" review di google play ternyata banyak yg kecewa krn barang abis, susah untuk refund, dan apknya lama. Wah agak degdegan nih, tp untungnya belum beli yg agak mahal, masih di bawah 100 rb. Eh alhamdulillah hari ini barangnya sampe dgn selamat. Aku juga sempet mengalami kendala pas mau bayar smp aku refresh berkali"" baru bisa. Semoga pihak pengembang bisa memperbaiki sistem apk dan kecocokan stok barangnya biar ga eror lagi",3,Tampilan,udah iseng buka google play nyata kecewa habis sulit refund degdegan untung beli mahal  100  sampe selamat alami kendala bayar refresh moga kembang sistem cocok stok error
118,2020-08-29 16:26:20,1,Seneng banget belanja disini banyak diskon dan produk pasti ori,5,Produk,belanja diskon produk original
119,2020-08-29 15:49:58,1,Semoga kedepannya app soco jadi lebih baguss dan bisa lebih gampang buat tracking paket kita seperti ngecek pakentnya sudah sampe dimana dsb.,4,Layanan,moga soco bagus mudah tracking paket ecek paket sampe
120,2020-08-29 08:51:49,0,Kenapa ya kadang2 suka lemot terus suka ketutup sendiri,3,Tampilan,ya suka suka tutup
121,2020-08-29 07:08:48,1,Suka belanja di soco,5,Lainnya,suka belanja soco
122,2020-08-29 05:58:41,-1,"Saya ko beli 3 produk, yg dikirim cuma 2,nah yg satu lagi kapan dikirim nya, udah lewat seminggu",1,Layanan,beli produk udah
123,2020-08-29 00:10:25,1,Oke dah,5,Lainnya,
124,2020-08-28 22:22:56,1,Luv u sociolla ...,5,Lainnya,love you
125,2020-08-28 21:06:40,1,Barang ori dan selalu ada diskon...,4,Produk,original diskon
126,2020-08-28 20:42:34,0,"Sebelum update, ga masalah. Setelah update kok aplikasi seperti putus koneksi. Update profil ga bisa, ngepost video ga bisa. Apa² jd ""something wrong, try later"". Terus, lihat komentar yg lain, kok jd takut² belanja lewat aplikasi. Lewat web aja kali ya...",3,Tampilan,update update putus koneksi update profil ngepost video something wrong try later lihat komentar takut 2  belanja web ya
127,2020-08-28 18:50:08,1,Mantap,5,Lainnya,mantap
128,2020-08-28 13:20:29,1,sering force close,4,Tampilan,force close
129,2020-08-28 12:44:44,1,Lengkap jos suka sekali pelayanan sama respon dari cs nya,5,Layanan,lengkap jos suka layan respon customer service
130,2020-08-28 12:18:04,1,Terori terjamin terlengkap...,5,Lainnya,teror jamin lengkap
131,2020-08-28 11:49:50,0,"Jd ceritanya aku ada kendala dmn orderanku ga nyampe pdhl udh 10hari+. Cs di chat gabisa kasih kepastian. Akhirnya aku minta refund dan udh balik duitnya. Sempet rame jg di instagram soco kalo banyak yg MINTA REFUND malah cuman diganti VOUCHER. Sempet takut jg, tp ternyata duitku balik. Itu jadi pengalaman pertama dan terakhir aku belanja disini. Gaakan pernah saranin circle ku buat checkout disini, takut kejadian yg lebih buruk menimpa mereka. Rating di sini kmrn cuma bintang 1 & ak janji ubah.",3,Layanan,cerita kendala nyampe  10 hari customer service chat pinta refund duit rame instagram soco pinta refund nyata duit alam belanja saranin circle buruk timpa rating janji
132,2020-08-28 11:47:18,1,Bagussssssssssssssss,5,Lainnya,bagus
133,2020-08-28 10:39:50,1,Sukak banget sama apknya,5,Lainnya,suka
134,2020-08-28 10:22:30,0,aplikasinya lemot,3,Tampilan,
135,2020-08-26 23:20:18,0,"Kenap ya kok apk berhenti mulu dan memuat ulang mulu, saya sudah bersihkan semua sampah dihp ttp seperti itu padahal apk lain baik2 aja dehh. Haduh lgsg uninstall karena gabisa dipake :3",3,Tampilan,ya henti muat sampah dihp baik 2  kecewa uninstall
136,2020-08-26 02:04:28,-1,Gabisa login ada ada aja bugsnya,1,Tampilan,bugsnya
137,2020-08-25 19:08:30,-1,Aplikasi nya g bisa log in makasih :) Btw dana refund saya blm di TF juga?,1,Tampilan,log dana refund tf
